TrialCount	TrialType	ItiDuration	TactorDuration	TactorDelay	ResponseMaxDuration	StimMovementDuration	RT
248	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	1.68457
249	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.213806
250	Tactile	0.5	0.35	0.65	0.5	2.666667	null
251	VisualCatch	0.5	0.35	0.325	0.5	2.666667	2.213806
252	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.8909912
253	Visual	0.5	0.35	1.625	0.5	2.666667	2.004333
254	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.698303
255	Visual	0.5	0.35	1.625	0.5	2.666667	null
256	VisuoTactile	0.5	0.35	1.95	0.5	2.666667	2.241333
257	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.406006
258	Tactile	0.5	0.35	1.625	0.5	2.666666	2.019348
259	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.641663
260	VisualCatch	0.5	0.35	1.95	0.5	2.666667	null
261	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.614441
262	Tactile	0.5	0.35	0.325	0.5	2.666667	0.8347778
263	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.6401367
264	Visual	0.5	0.35	1.625	0.5	2.666667	null
265	VisuoTactile	0.5	0.35	1.3	0.5	2.666667	1.586426
266	VisuoTactile	0.5	0.35	1.625	0.5	2.666667	1.86499
267	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.7235718
268	VisuoTactile	0.5	0.35	0.325	0.5	2.666667	0.7796631
269	VisualCatch	0.5	0.35	0.975	0.5	2.666667	null
270	VisualCatch	0.5	0.35	0.65	0.5	2.666667	null
271	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.9046631
272	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.225037
273	Tactile	0.5	0.35	1.625	0.5	2.666667	1.962891
274	VisuoTactile	0.5	0.35	0.975	0.5	2.666667	1.225098
275	Tactile	0.5	0.35	1.3	0.5	2.666667	1.628662
276	Visual	0.5	0.35	1.3	0.5	2.666667	0.3202515
277	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.9048462
278	VisuoTactile	0.5	0.35	0.65	0.5	2.666667	0.9050293
279	VisualCatch	0.5	0.35	1.95	0.5	2.666667	null
