TrialCount,TrialType,ItiDuration,TactorDuration,TactorDelay,ResponseMaxDuration,StimMovementDuration,RT
228,Tactile,0.5,0.35,0.65,0.5,2.666667,1.114197
229,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.294556
230,Visual,0.5,0.35,1.3,0.5,2.666667,null
231,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.9187012
232,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.851501
233,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.240967
234,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.572998
235,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.199463
236,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.544739
237,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.864624
238,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.684143
239,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.321655
240,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.558655
241,Tactile,0.5,0.35,0.975,0.5,2.666667,1.656128
242,Visual,0.5,0.35,0.65,0.5,2.666667,null
243,Visual,0.5,0.35,1.3,0.5,2.666667,null
244,Visual,0.5,0.35,1.625,0.5,2.666667,null
245,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.573181
246,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.6681519
247,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.906555
248,VisualCatch,0.5,0.35,1.95,0.5,2.666667,null
249,Tactile,0.5,0.35,1.3,0.5,2.666667,1.61499
250,VisualCatch,0.5,0.35,0.65,0.5,2.666667,null
251,VisualCatch,0.5,0.35,0.325,0.5,2.666667,null
252,Tactile,0.5,0.35,0.65,0.5,2.666667,1.141296
253,Visual,0.5,0.35,0.975,0.5,2.666667,null
254,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.879395
255,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.6680908
256,VisualCatch,0.5,0.35,0.65,0.5,2.666667,null
257,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.682251
258,Tactile,0.5,0.35,0.975,0.5,2.666667,1.364929
259,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.5982056
260,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.240479
261,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.6687012
262,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.210144
263,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.266357
264,Visual,0.5,0.35,0.65,0.5,2.666667,null
265,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,0.9464111
266,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.241455
267,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,null
268,VisuoTactile,0.5,0.35,0.975,0.5,2.666667,1.322083
269,VisuoTactile,0.5,0.35,1.625,0.5,2.666667,1.878906
270,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,1.043396
271,VisuoTactile,0.5,0.35,0.65,0.5,2.666667,1.044128
272,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.185242
273,VisuoTactile,0.5,0.35,1.95,0.5,2.666667,2.199219
274,VisuoTactile,0.5,0.35,0.325,0.5,2.666667,0.6679077
275,Tactile,0.5,0.35,0.65,0.5,2.666667,1.016296
276,Tactile,0.5,0.35,0.65,0.5,2.666667,1.015747
277,VisuoTactile,0.5,0.35,1.3,0.5,2.666667,1.558228
